entry_stable_id	entry_type	entry_name	species	ncbi_gene_id	lifespan_data_available
AF_001005	gene	SIC1	Saccharomyces cerevisiae	850768	true
AF_010060	gene	RPS18	Macaca mulatta	713939	false
AF_010061	gene	LOC100360679	Rattus norvegicus	100360679	false
AF_010062	gene	Os07g0173700	Oryza sativa	4342526	false
AF_010063	gene	AT1G34030	Arabidopsis thaliana	840300	false
AF_010064	gene	rps1801	Schizosaccharomyces pombe	2540180	false
AF_010065	gene	AgaP_AGAP010375	Anopheles gambiae	1272669	false
AF_010066	gene	Os03g0794700	Oryza sativa	4334407	false
AF_010067	gene	RPS18	Canis lupus familiaris	403685	false
AF_010068	gene	rps1802	Schizosaccharomyces pombe	3361064	false
AF_010069	gene	RPS18	Pan troglodytes	746775	false
AF_001006	gene	SWI6	Saccharomyces cerevisiae	850879	true
AF_010070	gene	NCU00475	Neurospora crassa	3872941	false
AF_010071	gene	Rps18	Rattus norvegicus	294282	false
AF_010072	gene	LOC462608	Pan troglodytes	462608	false
AF_010073	gene	RPS18	Bos taurus	326602	false
AF_010074	gene	KLLA0D16456g	Kluyveromyces lactis	2892945	false
AF_010075	gene	ACE2	Saccharomyces cerevisiae	850822	false
AF_010076	gene	AGOS_AGL197W	Eremothecium gossypii	4622763	false
AF_010077	gene	PEX16	Gallus gallus	423201	false
AF_010078	gene	Pex16	Mus musculus	18633	false
AF_010079	gene	PEX16	Macaca mulatta	714904	false
AF_001007	gene	TAL1	Saccharomyces cerevisiae	851068	true
AF_010080	gene	PEX16	Bos taurus	510447	false
AF_010081	gene	AgaP_AGAP002283	Anopheles gambiae	1269276	false
AF_010082	gene	PEX16	Canis lupus familiaris	483639	false
AF_010083	gene	PEX16	Pan troglodytes	451150	false
AF_010084	gene	Pex16	Rattus norvegicus	311203	false
AF_010085	gene	PEX16	Homo sapiens	9409	false
AF_010086	gene	NCU01850	Neurospora crassa	3880033	false
AF_010087	gene	MGG_09011	Magnaporthe oryzae	2680134	false
AF_010088	gene	pex16	Danio rerio	573990	false
AF_010089	gene	MRE11A	Canis lupus familiaris	494006	false
AF_001008	gene	SSP120	Saccharomyces cerevisiae	850952	true
AF_010090	gene	mre-11	Caenorhabditis elegans	179488	false
AF_010091	gene	Mre11a	Mus musculus	17535	false
AF_010092	gene	MRE11A	Pan troglodytes	737902	false
AF_010093	gene	AGOS_AFR553C	Eremothecium gossypii	4622380	false
AF_010094	gene	MRE11A	Macaca mulatta	697566	false
AF_010095	gene	AgaP_AGAP006797	Anopheles gambiae	1270268	false
AF_010096	gene	mre11a	Danio rerio	406637	false
AF_010097	gene	mre11	Drosophila melanogaster	34565	false
AF_010098	gene	Mre11a	Rattus norvegicus	64046	false
AF_010099	gene	MRE11A	Bos taurus	525093	false
AF_001009	gene	MRPL4	Saccharomyces cerevisiae	851160	true
AF_010100	gene	Os04g0635900	Oryza sativa	4337137	false
AF_010101	gene	MRE11A	Homo sapiens	4361	false
AF_010102	gene	KLLA0C06930g	Kluyveromyces lactis	2892523	false
AF_010103	gene	MRE11A	Gallus gallus	395555	false
AF_010104	gene	rad32	Schizosaccharomyces pombe	2542757	false
AF_010105	gene	NCU08730	Neurospora crassa	3879754	false
AF_010106	gene	MRE11	Arabidopsis thaliana	835514	false
AF_010107	gene	MGG_09555	Magnaporthe oryzae	2680453	false
AF_010108	gene	CBC2	Saccharomyces cerevisiae	855925	false
AF_010109	gene	AGOS_AFL050W	Eremothecium gossypii	4621730	false
AF_001010	gene	RPS1A	Saccharomyces cerevisiae	851162	true
AF_010110	gene	NCBP2_ANOGA	Anopheles gambiae	3290635	false
AF_010111	gene	NCBP2	Gallus gallus	422214	false
AF_010112	gene	Cbp20	Drosophila melanogaster	42166	false
AF_010113	gene	KLLA0B10472g	Kluyveromyces lactis	2896947	false
AF_010114	gene	NCU00210	Neurospora crassa	3872742	false
AF_010115	gene	SPBC13A2.01c	Schizosaccharomyces pombe	2539791	false
AF_010116	gene	MGG_06296	Magnaporthe oryzae	2684451	false
AF_010117	gene	RPL9	Bos taurus	282884	false
AF_010118	gene	AT1G33120	Arabidopsis thaliana	840208	false
AF_010119	gene	RPL9	Canis lupus familiaris	479109	false
AF_001011	gene	cers5	Danio rerio	323020	false
AF_010120	gene	NCU02744	Neurospora crassa	3881278	false
AF_010121	gene	RPL9	Gallus gallus	425468	false
AF_010122	gene	LOC718478	Macaca mulatta	718478	false
AF_010123	gene	Os09g0485900	Oryza sativa	4347422	false
AF_010124	gene	MGG_04829	Magnaporthe oryzae	2678056	false
AF_010125	gene	PGY2	Arabidopsis thaliana	840211	false
AF_010126	gene	RPL9	Pan troglodytes	737526	false
AF_010127	gene	AgaP_AGAP009508	Anopheles gambiae	1271403	false
AF_010128	gene	KLLA0E09109g	Kluyveromyces lactis	2894230	false
AF_010129	gene	KLLA0F04499g	Kluyveromyces lactis	2894979	false
AF_001012	gene	LAG1	Saccharomyces cerevisiae	856386	true
AF_001012	gene	LAG1	Saccharomyces cerevisiae	856386	true
AF_010130	gene	AGOS_ADL290W	Eremothecium gossypii	4619941	false
AF_010131	gene	Os02g0103700	Oryza sativa	4327999	false
AF_010132	gene	AgaP_AGAP002690	Anopheles gambiae	1273271	false
AF_010133	gene	XRCC6	Macaca mulatta	707975	false
AF_010134	gene	XRCC6	Pan troglodytes	465902	false
AF_010135	gene	KLLA0C06226g	Kluyveromyces lactis	2892291	false
AF_010136	gene	XRCC6	Bos taurus	510132	false
AF_010137	gene	Os07g0184900	Oryza sativa	4342584	false
AF_010138	gene	NCU08290	Neurospora crassa	3878669	false
AF_010139	gene	MGG_01512	Magnaporthe oryzae	2679155	false
AF_010140	gene	XRCC6	Gallus gallus	395767	false
AF_010141	gene	LOC100536337	Danio rerio	100536337	false
AF_010142	gene	XRCC6	Canis lupus familiaris	474485	false
AF_010143	gene	AgaP_AGAP000705	Anopheles gambiae	1272293	false
AF_010144	gene	PARK7	Bos taurus	511268	false
AF_010145	gene	PARK7	Canis lupus familiaris	479595	false
AF_010146	gene	Os01g0217800	Oryza sativa	4324581	false
AF_010147	gene	PARK7	Gallus gallus	395277	false
AF_010148	gene	PARK7	Pan troglodytes	746063	false
AF_010149	gene	l(2)37Cc	Drosophila melanogaster	49168	false
AF_010150	gene	AGOS_AFR313C	Eremothecium gossypii	4622124	false
AF_010151	gene	MGG_06004	Magnaporthe oryzae	2683971	false
AF_010152	gene	PHB	Bos taurus	530409	false
AF_010153	gene	KLLA0D16302g	Kluyveromyces lactis	2893208	false
AF_010154	gene	PHB	Macaca mulatta	699334	false
AF_010155	gene	PHB	Canis lupus familiaris	480547	false
AF_010156	gene	Os04g0462900	Oryza sativa	4336070	false
AF_010157	gene	PHB	Gallus gallus	419980	false
AF_010158	gene	Os02g0580500	Oryza sativa	4329777	false
AF_010159	gene	NCU08946	Neurospora crassa	3876951	false
AF_010160	gene	AgaP_AGAP009323	Anopheles gambiae	1271235	false
AF_010166	gene	MGG_05112	Magnaporthe oryzae	2675568	false
AF_010167	gene	AGOS_AFL102W	Eremothecium gossypii	4621675	false
AF_010168	gene	KLLA0B02310g	Kluyveromyces lactis	2897400	false
AF_010169	gene	NCU06246	Neurospora crassa	3879220	false
AF_001016	gene	TSC2	Homo sapiens	7249	false
AF_010170	gene	ATK1	Arabidopsis thaliana	827876	false
AF_010171	gene	ATK2	Arabidopsis thaliana	828826	false
AF_010172	gene	ncd	Drosophila melanogaster	43517	false
AF_010173	gene	KIFC1	Homo sapiens	3833	false
AF_010174	gene	KIFC1	Gallus gallus	417037	false
AF_010175	gene	MGG_05350	Magnaporthe oryzae	2675839	false
AF_010176	gene	KIFC1	Canis lupus familiaris	607916	false
AF_010177	gene	klp2	Schizosaccharomyces pombe	2543360	false
AF_010178	gene	AGOS_AGR253W	Eremothecium gossypii	4623221	false
AF_010179	gene	Kifc1	Rattus norvegicus	294286	false
AF_001017	gene	PPFIA1	Homo sapiens	8500	false
AF_010180	gene	kifc1	Danio rerio	30453	false
AF_010181	gene	Os04g0629700	Oryza sativa	4337093	false
AF_010182	gene	Kifc5b	Mus musculus	16580	false
AF_010183	gene	Kifc1	Mus musculus	100502766	false
AF_010184	gene	ATK3	Arabidopsis thaliana	835556	false
AF_010185	gene	KIFC1	Macaca mulatta	717800	false
AF_010186	gene	AgaP_AGAP002248	Anopheles gambiae	1269313	false
AF_010187	gene	KLLA0B10956g	Kluyveromyces lactis	2897518	false
AF_010188	gene	NCU04581	Neurospora crassa	3874429	false
AF_010189	gene	KIFC1	Bos taurus	510995	false
AF_010190	gene	ATK5	Arabidopsis thaliana	825867	false
AF_010191	gene	KIFC1	Pan troglodytes	462615	false
AF_010192	gene	CISD2	Gallus gallus	422714	false
AF_010193	gene	CG1458	Drosophila melanogaster	43459	false
AF_010194	gene	AgaP_AGAP004484	Anopheles gambiae	1274631	false
AF_010195	gene	CISD2	Pan troglodytes	100609495	false
AF_010196	gene	LOC100429989	Macaca mulatta	100429989	false
AF_010197	gene	CISD2	Bos taurus	781260	false
AF_010198	gene	LOC100855477	Canis lupus familiaris	100855477	false
AF_010199	gene	Cisd2	Rattus norvegicus	295457	false
AF_010200	gene	cisd2	Danio rerio	393354	false
AF_010201	gene	AGOS_AFR092W	Eremothecium gossypii	4621882	false
AF_010202	gene	KLLA0F14190g	Kluyveromyces lactis	2894921	false
AF_010203	gene	CELE_T08D2.7	Caenorhabditis elegans	191613	false
AF_010204	gene	CHEK2	Bos taurus	518897	false
AF_010205	gene	NCU02814	Neurospora crassa	3880610	false
AF_010206	gene	CHEK2	Gallus gallus	768913	false
AF_010207	gene	CHEK2	Canis lupus familiaris	486338	false
AF_010208	gene	MGG_01596	Magnaporthe oryzae	2679452	false
AF_010209	gene	CHEK2	Macaca mulatta	713668	false
AF_001020	gene	YPL056C	Saccharomyces cerevisiae	856051	true
AF_010210	gene	CHEK2	Pan troglodytes	458733	false
AF_010211	gene	AgaP_AGAP009784	Anopheles gambiae	1279197	false
AF_010212	gene	IMPA1	Canis lupus familiaris	477925	false
AF_010213	gene	VTC4	Arabidopsis thaliana	821206	false
AF_010214	gene	ttx-7	Caenorhabditis elegans	172477	false
AF_010215	gene	NCU06348	Neurospora crassa	3878521	false
AF_010216	gene	Os03g0587000	Oryza sativa	4333347	false
AF_010217	gene	IMPA1	Homo sapiens	3612	false
AF_010218	gene	impa1	Danio rerio	437018	false
AF_010219	gene	Impa1	Mus musculus	55980	false
AF_001021	gene	YLR104W	Saccharomyces cerevisiae	850794	true
AF_010220	gene	IMPA1	Bos taurus	281865	false
AF_010221	gene	IMPA1	Macaca mulatta	701959	false
AF_010222	gene	MGG_06165	Magnaporthe oryzae	2684325	false
AF_010223	gene	LOC100613673	Pan troglodytes	100613673	false
AF_010224	gene	Impa1	Rattus norvegicus	83523	false
AF_010225	gene	CG9391	Drosophila melanogaster	40346	false
AF_010226	gene	IMPA1	Gallus gallus	420199	false
AF_010227	gene	AgaP_AGAP006570	Anopheles gambiae	1277154	false
AF_010228	gene	NCU06424	Neurospora crassa	3873484	false
AF_010229	gene	MGG_06485	Magnaporthe oryzae	2684640	false
AF_001022	gene	rpl2102	Schizosaccharomyces pombe	2543337	false
AF_010230	gene	SPAC21E11.07	Schizosaccharomyces pombe	2541968	false
AF_010231	gene	AGOS_ABR170W	Eremothecium gossypii	4619228	false
AF_010232	gene	KLLA0D10681g	Kluyveromyces lactis	2892929	false
AF_010238	gene	NCU04737	Neurospora crassa	3876510	false
AF_010239	gene	MGG_02488	Magnaporthe oryzae	2681585	false
AF_001023	gene	YGL085W	Saccharomyces cerevisiae	852795	true
AF_010240	gene	AgaP_AGAP011161	Anopheles gambiae	1270768	false
AF_010241	gene	TKTL2	Macaca mulatta	706986	false
AF_010242	gene	TKTL2	Bos taurus	509186	false
AF_010243	gene	NCU03243	Neurospora crassa	3879884	false
AF_010244	gene	KLLA0C02057g	Kluyveromyces lactis	2892356	false
AF_010245	gene	AGOS_AFR680W	Eremothecium gossypii	4622517	false
AF_010246	gene	MGG_04474	Magnaporthe oryzae	2677807	false
AF_010247	gene	CNOT3	Macaca mulatta	693292	false
AF_010248	gene	CNOT3	Pan troglodytes	456279	false
AF_010249	gene	Os03g0652100	Oryza sativa	4333598	false
AF_001024	gene	PHO85	Saccharomyces cerevisiae	856076	true
AF_010250	gene	NCU03855	Neurospora crassa	3872012	false
AF_010251	gene	CNOT3	Bos taurus	527305	false
AF_010252	gene	l(2)NC136	Drosophila melanogaster	35501	false
AF_010253	gene	MGG_08101	Magnaporthe oryzae	2678346	false
AF_010254	gene	AgaP_AGAP009030	Anopheles gambiae	1279988	false
AF_010255	gene	CNOT3	Canis lupus familiaris	484312	false
AF_010256	gene	LOC696068	Macaca mulatta	696068	false
AF_010257	gene	Os02g0478700	Oryza sativa	4329362	false
AF_010258	gene	Gm9846	Mus musculus	100043813	false
AF_010259	gene	rps27.2	Danio rerio	393738	false
AF_001025	gene	LDB16	Saccharomyces cerevisiae	850351	true
AF_010260	gene	AT2G45710	Arabidopsis thaliana	819179	false
AF_010261	gene	LOC100614845	Pan troglodytes	100614845	false
AF_010262	gene	RPS27	Bos taurus	615638	false
AF_010263	gene	AgaP_AGAP007157	Anopheles gambiae	1269957	false
AF_010264	gene	RPS27	Canis lupus familiaris	612291	false
AF_010265	gene	NCU00618	Neurospora crassa	3881915	false
AF_010266	gene	MGG_02872	Magnaporthe oryzae	2682425	false
AF_010267	gene	AGOS_ACR065C	Eremothecium gossypii	4619592	false
AF_010268	gene	AT5G47930	Arabidopsis thaliana	834844	false
AF_010269	gene	KLLA0E11661g	Kluyveromyces lactis	2894566	false
AF_010270	gene	Rps27	Mus musculus	57294	false
AF_010271	gene	LOC452745	Pan troglodytes	452745	false
AF_010272	gene	Os04g0346100	Oryza sativa	4335531	false
AF_010273	gene	LOC100334726	Danio rerio	100334726	false
AF_010274	gene	PIK3CA	Bos taurus	282306	false
AF_010275	gene	PIK3CA	Macaca mulatta	709959	false
AF_010276	gene	PIK3CA	Canis lupus familiaris	488084	false
AF_010277	gene	LOC561737	Danio rerio	561737	false
AF_010278	gene	PIK3CA	Pan troglodytes	460858	false
AF_010279	gene	PIK3CA	Gallus gallus	424971	false
AF_010280	gene	ubh-2	Caenorhabditis elegans	179038	false
AF_010281	gene	PRDX1	Macaca mulatta	706142	false
AF_010282	gene	PRDX1	Canis lupus familiaris	475375	false
AF_010283	gene	KLLA0B01628g	Kluyveromyces lactis	2897244	false
AF_010284	gene	PRDX1	Pan troglodytes	456537	false
AF_010285	gene	PRDX1	Gallus gallus	424598	false
AF_010286	gene	AGOS_AER312W	Eremothecium gossypii	4621381	false
AF_010287	gene	Prdx1l1	Rattus norvegicus	100363379	false
AF_010288	gene	PRDX1	Bos taurus	281997	false
AF_010289	gene	LOC572323	Danio rerio	572323	false
AF_001028	gene	rpl21	Danio rerio	336568	false
AF_010290	gene	TUBA8	Gallus gallus	396426	false
AF_010291	gene	KLLA0D15312g	Kluyveromyces lactis	2892788	false
AF_010292	gene	KLLA0D08327g	Kluyveromyces lactis	2893221	false
AF_010293	gene	AGOS_ABL139C	Eremothecium gossypii	4618888	false
AF_010294	gene	FABP4	Bos taurus	281759	false
AF_010295	gene	FABP4	Pan troglodytes	464255	false
AF_010296	gene	FABP4	Gallus gallus	374165	false
AF_010297	gene	FABP4	Macaca mulatta	701365	false
AF_010298	gene	SBDS	Pan troglodytes	463942	false
AF_010299	gene	KLLA0F15532g	Kluyveromyces lactis	2895865	false
AF_010300	gene	SBDS	Gallus gallus	417477	false
AF_010301	gene	MGG_05662	Magnaporthe oryzae	2676018	false
AF_010302	gene	AGOS_AAL154C	Eremothecium gossypii	4618580	false
AF_010303	gene	NCU00476	Neurospora crassa	3872942	false
AF_010304	gene	Os08g0107500	Oryza sativa	4344458	false
AF_010305	gene	SBDS	Canis lupus familiaris	607017	false
AF_010306	gene	SBDS	Bos taurus	513237	false
AF_010307	gene	AgaP_AGAP007882	Anopheles gambiae	3291609	false
AF_010308	gene	LOC100858362	Gallus gallus	100858362	false
AF_010309	gene	MGG_00901	Magnaporthe oryzae	2674722	false
AF_001030	gene	MVK	Homo sapiens	4598	false
AF_010310	gene	NCU02252	Neurospora crassa	3876059	false
AF_010311	gene	LOC100535101	Danio rerio	100535101	false
AF_010312	gene	Hspa1a	Rattus norvegicus	24472	false
AF_010313	gene	HSPA1B	Macaca mulatta	677690	false
AF_010314	gene	HSPA1A	Bos taurus	282254	false
AF_010315	gene	Hsp70Bc	Drosophila melanogaster	48583	false
AF_010316	gene	Hsp70Bb	Drosophila melanogaster	48582	false
AF_010317	gene	HSPA1A	Pan troglodytes	100608888	false
AF_010318	gene	Hsp70Aa	Drosophila melanogaster	48581	false
AF_010319	gene	Hspa1b	Rattus norvegicus	294254	false
AF_001031	gene	LHX2	Homo sapiens	9355	false
AF_010320	gene	LOC798846	Danio rerio	798846	false
AF_010321	gene	HSP70	Canis lupus familiaris	403612	false
AF_010322	gene	Hsp70Ab	Drosophila melanogaster	44920	false
AF_010323	gene	AgaP_AGAP003365	Anopheles gambiae	1275042	false
AF_010324	gene	MAP2K4	Bos taurus	526469	false
AF_010325	gene	MGG_10268	Magnaporthe oryzae	2681821	false
AF_010326	gene	MAP2K4	Macaca mulatta	718155	false
AF_010327	gene	MAP2K4	Pan troglodytes	455065	false
AF_010328	gene	KLLA0E15313g	Kluyveromyces lactis	2893728	false
AF_010329	gene	MAP2K4	Gallus gallus	417312	false
AF_001032	gene	Lhx2	Mus musculus	16870	false
AF_010330	gene	AGOS_AFL217C	Eremothecium gossypii	4621557	false
AF_010331	gene	NCU00587	Neurospora crassa	3881869	false
AF_010334	gene	mtacp1	Drosophila melanogaster	38154	false
AF_010335	gene	AgaP_AGAP010464	Anopheles gambiae	1272611	false
AF_010336	gene	KLLA0E05941g	Kluyveromyces lactis	2894154	false
AF_010337	gene	Rpl37a-ps1	Rattus norvegicus	363248	false
AF_010338	gene	NCU07562	Neurospora crassa	3874754	false
AF_010339	gene	RPL37A	Bos taurus	504413	false
AF_001033	gene	Lhx2	Rattus norvegicus	296706	false
AF_010340	gene	AGOS_AGL310C	Eremothecium gossypii	4622650	false
AF_010341	gene	rpl4301	Schizosaccharomyces pombe	2540682	false
AF_010342	gene	RPL37A	Pan troglodytes	459931	false
AF_010343	gene	RPL37A	Macaca mulatta	696415	false
AF_010344	gene	MGG_06571	Magnaporthe oryzae	2684726	false
AF_010345	gene	Os05g0557000	Oryza sativa	4339573	false
AF_010346	gene	AgaP_AGAP009920	Anopheles gambiae	1279331	false
AF_010347	gene	Os01g0679700	Oryza sativa	4325282	false
AF_010348	gene	RPL37A	Gallus gallus	769981	false
AF_010349	gene	RPL37A	Canis lupus familiaris	478904	false
AF_001034	gene	Ldb1	Rattus norvegicus	309447	false
AF_010350	gene	KLLA0D07304g	Kluyveromyces lactis	2893278	false
AF_010351	gene	MGG_06482	Magnaporthe oryzae	2684637	false
AF_010352	gene	AGOS_ACR117W	Eremothecium gossypii	4619650	false
AF_010353	gene	pek1	Schizosaccharomyces pombe	2540919	false
AF_010354	gene	MKK2	Saccharomyces cerevisiae	855963	false
AF_010355	gene	NCU06419	Neurospora crassa	3873457	false
AF_010356	gene	AGOS_AAL085C	Eremothecium gossypii	4618535	false
AF_010357	gene	KLLA0C10879g	Kluyveromyces lactis	2892692	false
AF_010358	gene	KLLA0D06655g	Kluyveromyces lactis	2893586	false
AF_010359	gene	MGG_13497	Magnaporthe oryzae	5051651	false
AF_001035	gene	ldb1b	Danio rerio	30576	false
AF_010360	gene	NCU00649	Neurospora crassa	3881986	false
AF_010361	gene	CYP3A5	Bos taurus	282214	false
AF_010362	gene	Cyp9b1	Drosophila melanogaster	35634	false
AF_010363	gene	Cyp9h1	Drosophila melanogaster	36412	false
AF_010364	gene	Cyp3a41a	Mus musculus	53973	false
AF_010365	gene	cyp-13A11	Caenorhabditis elegans	184472	false
AF_010366	gene	Cyp3a41b	Mus musculus	100041375	false
AF_010367	gene	cyp-13A2	Caenorhabditis elegans	188360	false
AF_010368	gene	CYP3A5	Macaca mulatta	678692	false
AF_010369	gene	Cyp3a44	Mus musculus	337924	false
AF_010370	gene	cyp-13A1	Caenorhabditis elegans	188361	false
AF_010371	gene	cyp-13B2	Caenorhabditis elegans	187068	false
AF_010372	gene	cyp-13A10	Caenorhabditis elegans	174522	false
AF_010373	gene	cyp-13A7	Caenorhabditis elegans	188362	false
AF_010374	gene	Cyp3a23/3a1	Rattus norvegicus	25642	false
AF_010375	gene	cyp-13A4	Caenorhabditis elegans	188355	false
AF_010376	gene	Cyp3a11	Mus musculus	13112	false
AF_010377	gene	CYP3A5	Pan troglodytes	737374	false
AF_010378	gene	Cyp9b2	Drosophila melanogaster	35635	false
AF_010379	gene	CYP3A5	Homo sapiens	1577	false
AF_001037	gene	LIN1	Saccharomyces cerevisiae	856561	true
AF_010380	gene	cyp-13A6	Caenorhabditis elegans	188357	false
AF_010381	gene	Cyp9c1	Drosophila melanogaster	37941	false
AF_010382	gene	Cyp3a16	Mus musculus	13114	false
AF_010383	gene	cyp-13A5	Caenorhabditis elegans	188356	false
AF_010384	gene	cyp-13A8	Caenorhabditis elegans	188358	false
AF_010385	gene	cyp-13A3	Caenorhabditis elegans	188359	false
AF_010386	gene	cyp-13A12	Caenorhabditis elegans	184473	false
AF_010387	gene	gas1	Schizosaccharomyces pombe	2542584	false
AF_010388	gene	MGG_08370	Magnaporthe oryzae	2678504	false
AF_010389	gene	KLLA0C14091g	Kluyveromyces lactis	2892386	false
AF_001038	gene	NR1H3	Homo sapiens	10062	false
AF_010390	gene	AGOS_AGL301C	Eremothecium gossypii	4622659	false
AF_010391	gene	AgaP_AGAP012373	Anopheles gambiae	1280339	false
AF_010392	gene	RAE1	Canis lupus familiaris	485942	false
AF_010393	gene	RAE1	Macaca mulatta	696706	false
AF_010394	gene	Os08g0176800	Oryza sativa	4344798	false
AF_010395	gene	GLE2	Saccharomyces cerevisiae	856844	false
AF_010396	gene	NCU04288	Neurospora crassa	3877232	false
AF_010397	gene	RAE1	Bos taurus	513080	false
AF_010398	gene	Os01g0635400	Oryza sativa	4326570	false
AF_010399	gene	MGG_00946	Magnaporthe oryzae	2674766	false
AF_001039	gene	Stk11	Mus musculus	20869	false
AF_010400	gene	KLLA0E20703g	Kluyveromyces lactis	2894491	false
AF_010401	gene	TERF2	Bos taurus	506501	false
AF_010402	gene	TERF2	Macaca mulatta	704879	false
AF_010403	gene	TERF2	Canis lupus familiaris	489736	false
AF_010404	gene	TERF2	Pan troglodytes	454201	false
AF_001040	gene	STK11	Homo sapiens	6794	false
AF_010410	gene	KLLA0A10373g	Kluyveromyces lactis	2896325	false
AF_010417	gene	KLLA0B14454g	Kluyveromyces lactis	2897023	false
AF_010418	gene	MGG_02370	Magnaporthe oryzae	2681467	false
AF_010419	gene	AGOS_AER450C	Eremothecium gossypii	4621526	false
AF_010420	gene	NCU05390	Neurospora crassa	3879632	false
AF_010424	gene	SPCC1827.04	Schizosaccharomyces pombe	2539188	false
AF_010425	gene	NCU02147	Neurospora crassa	3880655	false
AF_010426	gene	MGG_03061	Magnaporthe oryzae	2682614	false
AF_010427	gene	AGOS_AGL211C	Eremothecium gossypii	4622749	false
AF_010428	gene	KLLA0F11792g	Kluyveromyces lactis	2895959	false
AF_010429	gene	BAP3	Saccharomyces cerevisiae	851616	false
AF_001042	gene	TRX1	Saccharomyces cerevisiae	850732	true
AF_010430	gene	AGOS_AGR038C	Eremothecium gossypii	4623003	false
AF_010431	gene	Os01g0614900	Oryza sativa	4326644	false
AF_010432	gene	AgaP_AGAP010303	Anopheles gambiae	4578408	false
AF_010433	gene	ATG7	Canis lupus familiaris	476533	false
AF_010434	gene	ATG7	Gallus gallus	415961	false
AF_010435	gene	NCU06672	Neurospora crassa	3877057	false
AF_010436	gene	KLLA0A05137g	Kluyveromyces lactis	2896361	false
AF_010437	gene	MGG_07297	Magnaporthe oryzae	2683193	false
AF_010438	gene	AGOS_AER298C	Eremothecium gossypii	4621368	false
